,Restaurant_Name,Cuisine,Price for 2(approx),Rating,Location,Area,Region
616,Hummus House," Continental, Lebanese",1100,,Banjara Hills,,Central East Hyderabad
617,Lucky's Biryani House," North Indian, Chinese, Biryani",500,2.4,Padma Rao Nagar,,East Hyderabad
618,Pista House," Chinese, North Indian, Desserts, Beverages",800,2.4,Yousuf Tekri Complex,Tolichowki,Central Hyderabad
619,Belgian Waffle Factory, Desserts,400,,Banjara Hills,,Central East Hyderabad
620,Rajthali," Rajasthani, Gujarati",1100,3.6,Jubilee Hills,,Central West Hyderabad
621,Vintage Kitchen," North Indian, Chinese",700,4,Junction 6,Amberpet,East Hyderabad
622,Robo Kitchen," Chinese, North Indian",1200,3.5,Alcazar Mall,Jubilee Hills,Central West Hyderabad
623,Masala Republic," Modern Indian, Fusion, Fast Food, Desserts, Asian",1000,3.9,Jubilee Hills,,Central West Hyderabad
624,Monginis," Fast Food, Desserts",300,,Rani Gunj,,Secunderabad
625,Pure Bliss," Beverages, Fast Food",600,5,Attapur,,South Hyderabad
626,Waffles Den, Desserts,400,,Himayath Nagar,,Central Hyderabad
627,Room Two," Continental, Modern Indian",1800,3,Jubilee Hills,,Central West Hyderabad
628,La Milano Pizzeria," Italian, Pizza, Fast Food",500,,Himayath Nagar,,Central Hyderabad
629,Tipsy Stories - Rooftop Bar," North Indian, Chinese",2500,3.5,Jubilee Hills,,Central West Hyderabad
630,Cafe Melange," North Indian, Fast Food, Chinese",800,4.1,Film Nagar,,Central West Hyderabad
631,Wow! Momo," Tibetan, Beverages, Fast Food",500,,Kavadiguda,,Central Hyderabad
632,Wow! Chicken, Fast Food,500,,Necklace Road,,Secunderabad
633,Makobrew World Coffee Bar," Continental, Fast Food, Beverages, Asian",800,4.3,Jubilee Hills,,Central West Hyderabad
634,Chicken Shawarma Hub," Lebanese, Fast Food",400,, Sri Nagar Colony,,Central East Hyderabad
635,The Symphony," North Indian, Continental, Asian",1200,4.1,Film Nagar,,Central West Hyderabad
636,Tasty Bowl," North Indian, South Indian",600,4,Film Nagar,,Central West Hyderabad
637,California Burrito," Mexican, Fast Food",500,,Praga Mall,Kavadiguda,Central Hyderabad
638,The Bar," Chinese, North Indian",1400,,Kalasiguda,,Secunderabad
639,DEE- the bar," Chinese, Finger Food",1400,,Kalasiguda,,Secunderabad
640,ABs - Absolute Barbecues," North Indian, Biryani, Continental, Street Food, Desserts",1600,4.2,Pammasani Complex,Jubilee Hills,Central West Hyderabad
641,Alcotales RestoBar (The Grand Solitaire)," North Indian, Chinese",1000,,SD Road,,Secunderabad
642,Bel Posto The Cafe," Continental, Chinese, Fast Food, Beverages",1000,4.3,Jubilee Hills,,Central West Hyderabad
643,Lemerian Workin Cafe," Continental, Italian, American, Desserts, Beverages",800,,Banjara Hills,,Central East Hyderabad
644,Burger Mischief," Burger, American, Mexican, Fast Food",500,4.4,Jubilee Hills,,Central West Hyderabad
645,Enigma The Experience," Fusion, Chinese, Italian, South Indian",1800,4,Malik Solitaire,Jubilee Hills,Central West Hyderabad
646,Nicos Cafe & Lounge," North Indian, Continental",2500,4,Aditya Enclave,Jubilee Hills,Central West Hyderabad
647,F House," Continental, Italian, Sushi, Beverages",2400,3.9,Jubilee Hills,,Central West Hyderabad
648,Broadway," Continental, Chinese, North Indian, Italian",2600,4.4,Jubilee Hills,,Central West Hyderabad
649,Nalla’s The Royal Treat Restaurant," North Indian, Seafood",1500,,Banjara Hills,,Central East Hyderabad
650,Posh Nosh Lounge Bar," North Indian, Chinese, Italian, Fast Food",1000,2.7,Jubilee Hills,,Central West Hyderabad
651,De Cafe Studio," Fast Food, Beverages",500,4.1,Malakpet,,South Hyderabad
652,The Pizza Hub," Fast Food, Pizza",500,1.3,Kachiguda,,Central Hyderabad
653,House Of Juices," Fast Food, Beverages",400,,Ameerpet,,Central East Hyderabad
654,Mid Land Bakers & Confectioners, Fast Food,400,1.5,Ameerpet,,Central East Hyderabad
655,The Lemon Sky," North Indian, Chinese",900,3.9,Attapur,,South Hyderabad
656,99 Pancakes," Desserts, Pizza",500,,Himayath Nagar,,Central Hyderabad
657,Wow! Momo," Tibetan, Chinese, Fast Food",500,,Himayath Nagar,,Central Hyderabad
658,Tranquil Bistro," Continental, Chinese, North Indian",1600,4.2,Jubilee Hills,,Central West Hyderabad
659,Chemistry," Finger Food, North Indian, Chinese",2200,3.9,Aditya Enclave,Jubilee Hills,Central West Hyderabad
660,Kholani's Dine in Barbeque," North Indian, Chinese, Mughlai",1000,3.3,Tolichowki,,Central Hyderabad
661,Amma Cheti Vanta," North Indian, Chinese, Seafood, Biryani",600,,Yousufguda,,Central East Hyderabad
662,The Old Madras Baking Company, Fast Food,800,3.2,Film Nagar,,Central West Hyderabad
663,RK Sweets & Juices, Desserts,300,,Yousufguda,,Central East Hyderabad
664,La Pinoz Pizza," Pizza, Fast Food",500,2.7,Cuba Food Havana,Film Nagar,Central West Hyderabad
665,Baklava King," Desserts, Fast Food",400,,SD Road,,Secunderabad
666,Wow! Momo," Tibetan, Fast Food, Beverages",500,,Banjara Hills,,Central East Hyderabad
667,The Frozen Village," Chinese, Fast Food, Desserts",600,3.5,Tolichowki,,Central Hyderabad
668,Gelatissimo, Desserts,400,,Himayath Nagar,,Central Hyderabad
669,Makers Of Milkshakes," Beverages, Desserts",400,3.8,Film Nagar,,Central West Hyderabad
670,Oceana By Family World," North Indian, Chinese, Seafood",900,,Begumpet,,Secunderabad
671,Cream Stone," Desserts, Beverages",400,4.3,Tolichowki,,Central Hyderabad
672,London Waffle Co.," Desserts, Beverages",300,,Himayath Nagar,,Central Hyderabad
673,Gabru Di Chaap," Fast Food, North Indian",500,,Himayath Nagar,,Central Hyderabad
674,The Nosh Bistro," Fast Food, Continental, Desserts, Beverages",600,,Himayath Nagar,,Central Hyderabad
